method,epochs,time_pair,EI_micro,training_delta,strict_delta,strict_rownorm_delta,best_epoch,hardK_t,hardK_tp,Keff_t,Keff_tp,max_frac_t,max_frac_tp,confidence_t,confidence_tp
native V7 + WYT（pool N/G）,300,11.5→12.5,0.8584988116735808,1.149143934249878,0.6487299134816906,0.639571652149078,300,10,12,9.825736045837402,10.097429275512695,0.16520210896309315,0.18012820512820513,0.6705328822135925,0.5978774428367615
native V7 + WYT（pool N/G）,300,12.5→13.5,0.3609979077803622,0.5362651348114014,0.2189960102615167,0.2204608013635569,300,17,9,13.620683670043945,9.15003776550293,0.18333333333333332,0.1598393574297189,0.5832303762435913,0.5362230539321899
native V7 + WYT（pool N/G）,300,13.5→14.5,0.0203014475418132,0.7656673192977905,0.1103508386318354,0.1077835067853403,300,11,12,8.439372062683105,8.203816413879395,0.1646586345381526,0.14058265582655827,0.5938760042190552,0.6976310014724731
native V7 + WYT（pool N/G）,1500,11.5→12.5,0.8584988116735808,1.3824665546417236,0.5829921665368207,0.5723631800160485,1497,15,11,9.51205062866211,7.963265419006348,0.13708260105448156,0.16538461538461538,0.7478163242340088,0.6757610440254211
native V7 + WYT（pool N/G）,1500,12.5→13.5,0.3609979077803622,0.5782673358917236,-0.0543598822546123,-0.0583843880016567,1497,13,10,10.107446670532227,9.371838569641113,0.14102564102564102,0.1783132530120482,0.7455601096153259,0.48629096150398254
native V7 + WYT（pool N/G）,1500,13.5→14.5,0.0203014475418132,0.6963423490524292,0.0657961963972306,0.0574920678754127,1498,10,12,8.290575981140137,8.857735633850098,0.1823293172690763,0.14092140921409213,0.5952322483062744,0.6836192607879639
native V7 + WYT（macro G重算）,300,11.5→12.5,0.8584988116735808,1.750194072723389,1.6753201960588506,1.6773860088740955,295,12,15,11.70688533782959,11.431025505065918,0.2190978324545987,0.1935897435897436,0.44348379969596863,0.5076643824577332
native V7 + WYT（macro G重算）,300,12.5→13.5,0.3609979077803622,1.4479138851165771,1.4483342924774014,1.4512389727138073,300,9,12,8.80013656616211,10.133557319641113,0.24102564102564103,0.1927710843373494,0.3780001103878021,0.46219781041145325
native V7 + WYT（macro G重算）,300,13.5→14.5,0.0203014475418132,2.785641431808472,2.785993516348512,2.784912767227479,298,9,10,9.138813972473145,8.595953941345215,0.17670682730923695,0.1619241192411924,0.5086182355880737,0.5193325281143188
native V7 + WYT（macro G重算）,1500,11.5→12.5,0.8584988116735808,2.2952539920806885,2.197041317143868,2.196889159737627,1488,9,14,8.001004219055176,9.200406074523926,0.20855301698886936,0.17115384615384616,0.5289965271949768,0.6252409815788269
native V7 + WYT（macro G重算）,1500,12.5→13.5,0.3609979077803622,1.7581310272216797,1.75597443440145,1.759632709111291,1479,7,13,7.290887355804443,8.795133590698242,0.18653846153846154,0.15421686746987953,0.49079927802085876,0.6048828363418579
native V7 + WYT（macro G重算）,1500,13.5→14.5,0.0203014475418132,2.9693808555603027,2.9708896088015533,2.9714048344733524,1438,11,19,9.10094165802002,8.864724159240723,0.19036144578313252,0.1659891598915989,0.5139375925064087,0.5089283585548401
native V7 + WYT（macro G重算+强用量约束）,300,11.5→12.5,0.8584988116735808,1.290633201599121,1.2951532421451009,1.295717618242218,297,55,57,49.05744934082031,45.92350769042969,0.0638547158758055,0.08525641025641026,0.17825406789779663,0.21369196474552155
